County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
30 - Orange,12/17/2015,In Construction,106145041.00,193,Greater Los Angeles Counties
30 - Orange,12/17/2015,In Closure,55611864.00,160,Greater Los Angeles Counties
31 - Placer,12/17/2015,In Review,1887627.00,16,Greater Sacramento Counties
31 - Placer,12/17/2015,Pending Construction,1383797.00,9,Greater Sacramento Counties
31 - Placer,12/17/2015,In Construction,16954990.00,41,Greater Sacramento Counties
31 - Placer,12/17/2015,In Closure,18645394.00,18,Greater Sacramento Counties
32 - Plumas,12/17/2015,In Review,30000.00,1,
32 - Plumas,12/17/2015,Pending Construction,185555.00,6,
32 - Plumas,12/17/2015,In Construction,45900.00,1,
32 - Plumas,12/17/2015,In Closure,0.00,0,
33 - Riverside,12/17/2015,In Review,120087548.00,47,
33 - Riverside,12/17/2015,Pending Construction,215919989.00,82,
33 - Riverside,12/17/2015,In Construction,240434536.00,116,
33 - Riverside,12/17/2015,In Closure,14895335.00,57,
34 - Sacramento,12/17/2015,In Review,75233414.00,63,Greater Sacramento Counties
34 - Sacramento,12/17/2015,Pending Construction,124449679.00,58,Greater Sacramento Counties
34 - Sacramento,12/17/2015,In Construction,300469188.00,133,Greater Sacramento Counties
34 - Sacramento,12/17/2015,In Closure,116373377.00,67,Greater Sacramento Counties
35 - San Benito,12/17/2015,In Review,0.00,0,
35 - San Benito,12/17/2015,Pending Construction,270388.00,3,
35 - San Benito,12/17/2015,In Construction,14048205.00,4,
35 - San Benito,12/17/2015,In Closure,0.00,0,
36 - San Bernardino,12/17/2015,In Review,659045043.00,58,
36 - San Bernardino,12/17/2015,Pending Construction,23654728.00,93,
36 - San Bernardino,12/17/2015,In Construction,202723174.00,103,
36 - San Bernardino,12/17/2015,In Closure,5909695.00,47,
37 - San Diego,12/17/2015,In Review,95302954.00,113,
37 - San Diego,12/17/2015,Pending Construction,51616592.00,111,
37 - San Diego,12/17/2015,In Construction,954083432.00,228,
37 - San Diego,12/17/2015,In Closure,67077012.00,88,
38 - San Francisco,12/17/2015,In Review,419699759.00,50,Bay Area Counties
38 - San Francisco,12/17/2015,Pending Construction,33738555.00,38,Bay Area Counties
38 - San Francisco,12/17/2015,In Construction,1235644430.00,136,Bay Area Counties
38 - San Francisco,12/17/2015,In Closure,398943584.00,28,Bay Area Counties
39 - San Joaquin,12/17/2015,In Review,37182533.00,20,
39 - San Joaquin,12/17/2015,Pending Construction,3689223.00,16,
39 - San Joaquin,12/17/2015,In Construction,17998301.00,52,
39 - San Joaquin,12/17/2015,In Closure,10058186.00,27,
40 - San Luis Obispo,12/17/2015,In Review,2065486.00,9,
40 - San Luis Obispo,12/17/2015,Pending Construction,892193.00,13,
40 - San Luis Obispo,12/17/2015,In Construction,4374503.00,15,
40 - San Luis Obispo,12/17/2015,In Closure,7294837.00,14,
41 - San Mateo,12/17/2015,In Review,77840601.00,26,Bay Area Counties
41 - San Mateo,12/17/2015,Pending Construction,157960233.00,39,Bay Area Counties
41 - San Mateo,12/17/2015,In Construction,71703449.00,31,Bay Area Counties
41 - San Mateo,12/17/2015,In Closure,5988758.00,17,Bay Area Counties
42 - Santa Barbara,12/17/2015,In Review,16923170.00,21,
42 - Santa Barbara,12/17/2015,Pending Construction,945508.00,9,
42 - Santa Barbara,12/17/2015,In Construction,379837415.00,61,
42 - Santa Barbara,12/17/2015,In Closure,12940038.00,26,
43 - Santa Clara,12/17/2015,In Review,266519963.00,85,Bay Area Counties
43 - Santa Clara,12/17/2015,Pending Construction,12044092.00,46,Bay Area Counties
43 - Santa Clara,12/17/2015,In Construction,1692365341.00,126,Bay Area Counties
43 - Santa Clara,12/17/2015,In Closure,144173135.00,41,Bay Area Counties
44 - Santa Cruz,12/17/2015,In Review,15911994.00,10,
44 - Santa Cruz,12/17/2015,Pending Construction,390009.00,5,
44 - Santa Cruz,12/17/2015,In Construction,9543505.00,11,
44 - Santa Cruz,12/17/2015,In Closure,191081.00,5,
45 - Shasta,12/17/2015,In Review,2633985.00,13,
45 - Shasta,12/17/2015,Pending Construction,1055650.00,13,
45 - Shasta,12/17/2015,In Construction,7574066.00,15,
45 - Shasta,12/17/2015,In Closure,5153253.00,26,
46 - Sierra,12/17/2015,In Review,0.00,0,
46 - Sierra,12/17/2015,Pending Construction,0.00,0,
46 - Sierra,12/17/2015,In Construction,0.00,0,
46 - Sierra,12/17/2015,In Closure,0.00,0,
47 - Siskiyou,12/17/2015,In Review,1673000.00,5,
47 - Siskiyou,12/17/2015,Pending Construction,663000.00,5,
47 - Siskiyou,12/17/2015,In Construction,436500.00,4,
47 - Siskiyou,12/17/2015,In Closure,1264130.00,9,
48 - Solano,12/17/2015,In Review,57790056.00,11,Bay Area Counties
48 - Solano,12/17/2015,Pending Construction,1272530.00,13,Bay Area Counties
48 - Solano,12/17/2015,In Construction,45129270.00,29,Bay Area Counties
48 - Solano,12/17/2015,In Closure,9654378.00,27,Bay Area Counties
49 - Sonoma,12/17/2015,In Review,5853896.00,27,Bay Area Counties
49 - Sonoma,12/17/2015,Pending Construction,1697607.00,17,Bay Area Counties
49 - Sonoma,12/17/2015,In Construction,18664279.00,63,Bay Area Counties
49 - Sonoma,12/17/2015,In Closure,132131578.00,35,Bay Area Counties
50 - Stanislaus,12/17/2015,In Review,11711500.00,15,
50 - Stanislaus,12/17/2015,Pending Construction,3258216.00,17,
50 - Stanislaus,12/17/2015,In Construction,29974283.00,39,
50 - Stanislaus,12/17/2015,In Closure,5156335.00,20,
51 - Sutter,12/17/2015,In Review,0.00,1,
51 - Sutter,12/17/2015,Pending Construction,12696000.00,3,
51 - Sutter,12/17/2015,In Construction,280767.00,2,
51 - Sutter,12/17/2015,In Closure,0.00,0,
52 - Tehama,12/17/2015,In Review,433000.00,2,
52 - Tehama,12/17/2015,Pending Construction,548636.00,3,
52 - Tehama,12/17/2015,In Construction,2576244.00,9,
52 - Tehama,12/17/2015,In Closure,579078.00,4,
53 - Trinity,12/17/2015,In Review,140000.00,1,
53 - Trinity,12/17/2015,Pending Construction,288500.00,3,
53 - Trinity,12/17/2015,In Construction,1382817.00,1,
53 - Trinity,12/17/2015,In Closure,115605.00,1,
54 - Tulare,12/17/2015,In Review,25832389.00,12,
54 - Tulare,12/17/2015,Pending Construction,4198800.00,9,
54 - Tulare,12/17/2015,In Construction,78827705.00,22,
54 - Tulare,12/17/2015,In Closure,1157364.00,5,
55 - Tuolumne,12/17/2015,In Review,68000.00,1,
55 - Tuolumne,12/17/2015,Pending Construction,1817602.00,1,
55 - Tuolumne,12/17/2015,In Construction,5000.00,1,
55 - Tuolumne,12/17/2015,In Closure,575861.00,3,
56 - Ventura,12/17/2015,In Review,76272597.00,50,Greater Los Angeles Counties
56 - Ventura,12/17/2015,Pending Construction,26967636.00,36,Greater Los Angeles Counties
56 - Ventura,12/17/2015,In Construction,548731262.00,96,Greater Los Angeles Counties
56 - Ventura,12/17/2015,In Closure,39849981.00,31,Greater Los Angeles Counties
57 - Yolo,12/17/2015,In Review,3551086.00,4,Greater Sacramento Counties
57 - Yolo,12/17/2015,Pending Construction,2970726.00,12,Greater Sacramento Counties
57 - Yolo,12/17/2015,In Construction,4482805.00,13,Greater Sacramento Counties
57 - Yolo,12/17/2015,In Closure,823730.00,2,Greater Sacramento Counties
58 - Yuba,12/17/2015,In Review,4602909.00,6,
58 - Yuba,12/17/2015,Pending Construction,5510000.00,5,
58 - Yuba,12/17/2015,In Construction,96453310.00,5,
58 - Yuba,12/17/2015,In Closure,44739275.00,2,
01 - Alameda,12/31/2015,In Review,142250886.00,63,Bay Area Counties
01 - Alameda,12/31/2015,Pending Construction,74813876.00,98,Bay Area Counties
01 - Alameda,12/31/2015,In Construction,529734738.00,140,Bay Area Counties
01 - Alameda,12/31/2015,In Closure,68128351.00,83,Bay Area Counties
02 - Alpine,12/31/2015,In Review,0.00,0,
02 - Alpine,12/31/2015,Pending Construction,0.00,0,
02 - Alpine,12/31/2015,In Construction,0.00,0,
02 - Alpine,12/31/2015,In Closure,0.00,0,
03 - Amador,12/31/2015,In Review,400000.00,1,
03 - Amador,12/31/2015,Pending Construction,83225.00,3,
03 - Amador,12/31/2015,In Construction,6024595.00,4,
03 - Amador,12/31/2015,In Closure,1306353.00,3,
04 - Butte,12/31/2015,In Review,1347167.00,4,
04 - Butte,12/31/2015,Pending Construction,5789854.00,9,
04 - Butte,12/31/2015,In Construction,2826915.00,11,
04 - Butte,12/31/2015,In Closure,97595502.00,7,
05 - Calaveras,12/31/2015,In Review,265000.00,2,
05 - Calaveras,12/31/2015,Pending Construction,73423.00,1,
05 - Calaveras,12/31/2015,In Construction,137400.00,2,
05 - Calaveras,12/31/2015,In Closure,398844.00,4,
06 - Colusa,12/31/2015,In Review,0.00,0,
06 - Colusa,12/31/2015,Pending Construction,0.00,0,
06 - Colusa,12/31/2015,In Construction,0.00,0,
06 - Colusa,12/31/2015,In Closure,137066.00,3,
07 - Contra Costa,12/31/2015,In Review,26299725.00,23,Bay Area Counties
07 - Contra Costa,12/31/2015,Pending Construction,12282907.00,33,Bay Area Counties
07 - Contra Costa,12/31/2015,In Construction,40649993.00,60,Bay Area Counties
07 - Contra Costa,12/31/2015,In Closure,12227860.00,33,Bay Area Counties
08 - Del Norte,12/31/2015,In Review,2140000.00,2,
08 - Del Norte,12/31/2015,Pending Construction,0.00,0,
08 - Del Norte,12/31/2015,In Construction,1465511.00,7,
08 - Del Norte,12/31/2015,In Closure,1282552.00,1,
09 - El Dorado,12/31/2015,In Review,5592540.00,6,Greater Sacramento Counties
