County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
55 - Tuolumne,10/6/2017,In Closure,0.00,0,
56 - Ventura,10/6/2017,In Review,28170062.00,22,Greater Los Angeles Counties
56 - Ventura,10/6/2017,Pending Construction,4753600.00,17,Greater Los Angeles Counties
56 - Ventura,10/6/2017,In Construction,595407810.00,73,Greater Los Angeles Counties
56 - Ventura,10/6/2017,In Closure,4431916.00,9,Greater Los Angeles Counties
57 - Yolo,10/6/2017,In Review,16185923.00,7,Greater Sacramento Counties
57 - Yolo,10/6/2017,Pending Construction,347000.00,4,Greater Sacramento Counties
57 - Yolo,10/6/2017,In Construction,11203365.00,14,Greater Sacramento Counties
57 - Yolo,10/6/2017,In Closure,5579.00,1,Greater Sacramento Counties
58 - Yuba,10/6/2017,In Review,0.00,1,
58 - Yuba,10/6/2017,Pending Construction,1971191.00,4,
58 - Yuba,10/6/2017,In Construction,58161174.00,14,
58 - Yuba,10/6/2017,In Closure,89170550.00,2,
01 - Alameda,10/20/2017,In Review,160283775.00,59,Bay Area Counties
01 - Alameda,10/20/2017,Pending Construction,27786546.00,48,Bay Area Counties
01 - Alameda,10/20/2017,In Construction,628062242.00,111,Bay Area Counties
01 - Alameda,10/20/2017,In Closure,5191106.00,15,Bay Area Counties
02 - Alpine,10/20/2017,In Review,0.00,0,
02 - Alpine,10/20/2017,Pending Construction,0.00,0,
02 - Alpine,10/20/2017,In Construction,0.00,0,
02 - Alpine,10/20/2017,In Closure,0.00,0,
03 - Amador,10/20/2017,In Review,2183353.00,2,
03 - Amador,10/20/2017,Pending Construction,65000.00,1,
03 - Amador,10/20/2017,In Construction,1590393.00,2,
03 - Amador,10/20/2017,In Closure,147012.00,3,
04 - Butte,10/20/2017,In Review,88699000.00,10,
04 - Butte,10/20/2017,Pending Construction,103459.00,3,
04 - Butte,10/20/2017,In Construction,2931749.00,8,
04 - Butte,10/20/2017,In Closure,271510.00,4,
05 - Calaveras,10/20/2017,In Review,170600.00,1,
05 - Calaveras,10/20/2017,Pending Construction,150000.00,1,
05 - Calaveras,10/20/2017,In Construction,141564.00,2,
05 - Calaveras,10/20/2017,In Closure,0.00,0,
06 - Colusa,10/20/2017,In Review,0.00,0,
06 - Colusa,10/20/2017,Pending Construction,0.00,0,
06 - Colusa,10/20/2017,In Construction,0.00,0,
06 - Colusa,10/20/2017,In Closure,0.00,0,
07 - Contra Costa,10/20/2017,In Review,27409529.00,25,Bay Area Counties
07 - Contra Costa,10/20/2017,Pending Construction,5251426.00,28,Bay Area Counties
07 - Contra Costa,10/20/2017,In Construction,39966065.00,65,Bay Area Counties
07 - Contra Costa,10/20/2017,In Closure,9371728.00,14,Bay Area Counties
08 - Del Norte,10/20/2017,In Review,0.00,0,
08 - Del Norte,10/20/2017,Pending Construction,142300.00,5,
08 - Del Norte,10/20/2017,In Construction,2259300.00,6,
08 - Del Norte,10/20/2017,In Closure,785500.00,2,
09 - El Dorado,10/20/2017,In Review,3048079.00,6,Greater Sacramento Counties
09 - El Dorado,10/20/2017,Pending Construction,2236240.00,3,Greater Sacramento Counties
09 - El Dorado,10/20/2017,In Construction,15853660.00,18,Greater Sacramento Counties
09 - El Dorado,10/20/2017,In Closure,598011.00,3,Greater Sacramento Counties
10 - Fresno,10/20/2017,In Review,109935568.00,20,
10 - Fresno,10/20/2017,Pending Construction,30058135.00,32,
10 - Fresno,10/20/2017,In Construction,54706283.00,76,
10 - Fresno,10/20/2017,In Closure,2813112.00,5,
11 - Glenn,10/20/2017,In Review,0.00,0,
11 - Glenn,10/20/2017,Pending Construction,12962075.00,2,
11 - Glenn,10/20/2017,In Construction,0.00,0,
11 - Glenn,10/20/2017,In Closure,0.00,0,
12 - Humboldt,10/20/2017,In Review,1118000.00,4,
12 - Humboldt,10/20/2017,Pending Construction,9540600.00,6,
12 - Humboldt,10/20/2017,In Construction,87536291.00,5,
12 - Humboldt,10/20/2017,In Closure,1751510.00,6,
13 - Imperial,10/20/2017,In Review,23174513.00,7,
13 - Imperial,10/20/2017,Pending Construction,46995000.00,6,
13 - Imperial,10/20/2017,In Construction,22856571.00,9,
13 - Imperial,10/20/2017,In Closure,0.00,0,
14 - Inyo,10/20/2017,In Review,5000.00,1,
14 - Inyo,10/20/2017,Pending Construction,30000.00,1,
14 - Inyo,10/20/2017,In Construction,0.00,0,
14 - Inyo,10/20/2017,In Closure,45000.00,1,
15 - Kern,10/20/2017,In Review,53381630.00,30,
15 - Kern,10/20/2017,Pending Construction,4690218.00,15,
15 - Kern,10/20/2017,In Construction,59700076.00,54,
15 - Kern,10/20/2017,In Closure,1820778.00,6,
16 - Kings,10/20/2017,In Review,0.00,0,
16 - Kings,10/20/2017,Pending Construction,247500.00,3,
16 - Kings,10/20/2017,In Construction,861882.00,10,
16 - Kings,10/20/2017,In Closure,0.00,0,
17 - Lake,10/20/2017,In Review,7017549.00,5,
17 - Lake,10/20/2017,Pending Construction,0.00,0,
17 - Lake,10/20/2017,In Construction,1412348.00,17,
17 - Lake,10/20/2017,In Closure,1144494.00,4,
18 - Lassen,10/20/2017,In Review,50000.00,1,
18 - Lassen,10/20/2017,Pending Construction,74620.00,2,
18 - Lassen,10/20/2017,In Construction,1389235.00,6,
18 - Lassen,10/20/2017,In Closure,540000.00,2,
19 - Los Angeles,10/20/2017,In Review,836177855.00,416,Greater Los Angeles Counties
19 - Los Angeles,10/20/2017,Pending Construction,300607599.00,443,Greater Los Angeles Counties
19 - Los Angeles,10/20/2017,In Construction,601432527.00,888,Greater Los Angeles Counties
19 - Los Angeles,10/20/2017,In Closure,161740381.00,204,Greater Los Angeles Counties
20 - Madera,10/20/2017,In Review,7733099.00,8,
20 - Madera,10/20/2017,Pending Construction,1853885.00,5,
20 - Madera,10/20/2017,In Construction,14040674.00,22,
20 - Madera,10/20/2017,In Closure,882275.00,3,
21 - Marin,10/20/2017,In Review,5098596.00,19,Bay Area Counties
21 - Marin,10/20/2017,Pending Construction,2297551.00,13,Bay Area Counties
21 - Marin,10/20/2017,In Construction,40716412.00,40,Bay Area Counties
21 - Marin,10/20/2017,In Closure,2457763.00,15,Bay Area Counties
22 - Mariposa,10/20/2017,In Review,0.00,0,
22 - Mariposa,10/20/2017,Pending Construction,0.00,0,
22 - Mariposa,10/20/2017,In Construction,25000.00,1,
22 - Mariposa,10/20/2017,In Closure,0.00,0,
23 - Mendocino,10/20/2017,In Review,791793.00,4,
23 - Mendocino,10/20/2017,Pending Construction,1028200.00,9,
23 - Mendocino,10/20/2017,In Construction,22185535.00,19,
23 - Mendocino,10/20/2017,In Closure,300088.00,3,
24 - Merced,10/20/2017,In Review,1143096.00,2,
24 - Merced,10/20/2017,Pending Construction,68096.00,2,
24 - Merced,10/20/2017,In Construction,1505072.00,16,
24 - Merced,10/20/2017,In Closure,5000.00,1,
25 - Modoc,10/20/2017,In Review,19200000.00,1,
25 - Modoc,10/20/2017,Pending Construction,0.00,0,
25 - Modoc,10/20/2017,In Construction,45000.00,1,
25 - Modoc,10/20/2017,In Closure,0.00,0,
26 - Mono,10/20/2017,In Review,0.00,0,
26 - Mono,10/20/2017,Pending Construction,60000.00,1,
26 - Mono,10/20/2017,In Construction,21000.00,1,
26 - Mono,10/20/2017,In Closure,0.00,0,
27 - Monterey,10/20/2017,In Review,1196812.00,12,
27 - Monterey,10/20/2017,Pending Construction,11966224.00,12,
27 - Monterey,10/20/2017,In Construction,44768683.00,33,
27 - Monterey,10/20/2017,In Closure,143000.00,1,
28 - Napa,10/20/2017,In Review,11328238.00,9,Bay Area Counties
28 - Napa,10/20/2017,Pending Construction,1638405.00,9,Bay Area Counties
28 - Napa,10/20/2017,In Construction,7471554.00,28,Bay Area Counties
28 - Napa,10/20/2017,In Closure,14095.00,2,Bay Area Counties
29 - Nevada,10/20/2017,In Review,3303957.00,11,
29 - Nevada,10/20/2017,Pending Construction,3165850.00,6,
29 - Nevada,10/20/2017,In Construction,28354175.00,18,
29 - Nevada,10/20/2017,In Closure,9789542.00,6,
30 - Orange,10/20/2017,In Review,147234176.00,87,Greater Los Angeles Counties
30 - Orange,10/20/2017,Pending Construction,6911351.00,69,Greater Los Angeles Counties
30 - Orange,10/20/2017,In Construction,126715828.00,146,Greater Los Angeles Counties
30 - Orange,10/20/2017,In Closure,13444457.00,68,Greater Los Angeles Counties
31 - Placer,10/20/2017,In Review,10440867.00,12,Greater Sacramento Counties
31 - Placer,10/20/2017,Pending Construction,4445729.00,8,Greater Sacramento Counties
31 - Placer,10/20/2017,In Construction,28452587.00,29,Greater Sacramento Counties
31 - Placer,10/20/2017,In Closure,1553563.00,6,Greater Sacramento Counties
32 - Plumas,10/20/2017,In Review,220000.00,2,
32 - Plumas,10/20/2017,Pending Construction,35000.00,2,
32 - Plumas,10/20/2017,In Construction,3379.00,1,
32 - Plumas,10/20/2017,In Closure,15480.00,2,
33 - Riverside,10/20/2017,In Review,172373793.00,47,
33 - Riverside,10/20/2017,Pending Construction,35260352.00,60,
33 - Riverside,10/20/2017,In Construction,437464741.00,119,
33 - Riverside,10/20/2017,In Closure,52734749.00,28,
34 - Sacramento,10/20/2017,In Review,73932009.00,41,Greater Sacramento Counties
34 - Sacramento,10/20/2017,Pending Construction,29786153.00,51,Greater Sacramento Counties
34 - Sacramento,10/20/2017,In Construction,269989316.00,150,Greater Sacramento Counties
34 - Sacramento,10/20/2017,In Closure,196890904.00,26,Greater Sacramento Counties
35 - San Benito,10/20/2017,In Review,90000.00,1,
35 - San Benito,10/20/2017,Pending Construction,0.00,0,
35 - San Benito,10/20/2017,In Construction,103388.00,1,
35 - San Benito,10/20/2017,In Closure,0.00,0,
36 - San Bernardino,10/20/2017,In Review,316851089.00,60,
36 - San Bernardino,10/20/2017,Pending Construction,115599571.00,67,
36 - San Bernardino,10/20/2017,In Construction,507370458.00,143,
36 - San Bernardino,10/20/2017,In Closure,10606380.00,32,
37 - San Diego,10/20/2017,In Review,171224121.00,86,
37 - San Diego,10/20/2017,Pending Construction,42622414.00,116,
37 - San Diego,10/20/2017,In Construction,315529628.00,212,
37 - San Diego,10/20/2017,In Closure,94293738.00,61,
38 - San Francisco,10/20/2017,In Review,111979379.00,69,Bay Area Counties
38 - San Francisco,10/20/2017,Pending Construction,24690169.00,38,Bay Area Counties
38 - San Francisco,10/20/2017,In Construction,1369377551.00,109,Bay Area Counties
38 - San Francisco,10/20/2017,In Closure,12694151.00,22,Bay Area Counties
39 - San Joaquin,10/20/2017,In Review,33262090.00,18,
39 - San Joaquin,10/20/2017,Pending Construction,5130490.00,15,
39 - San Joaquin,10/20/2017,In Construction,40055877.00,25,
39 - San Joaquin,10/20/2017,In Closure,5592784.00,10,
40 - San Luis Obispo,10/20/2017,In Review,18538230.00,13,
40 - San Luis Obispo,10/20/2017,Pending Construction,1160185.00,8,
40 - San Luis Obispo,10/20/2017,In Construction,6447533.00,16,
40 - San Luis Obispo,10/20/2017,In Closure,1326935.00,4,
41 - San Mateo,10/20/2017,In Review,25216491.00,27,Bay Area Counties
41 - San Mateo,10/20/2017,Pending Construction,17384608.00,24,Bay Area Counties
41 - San Mateo,10/20/2017,In Construction,35391812.00,57,Bay Area Counties
41 - San Mateo,10/20/2017,In Closure,6607413.00,11,Bay Area Counties
42 - Santa Barbara,10/20/2017,In Review,27105649.00,9,
42 - Santa Barbara,10/20/2017,Pending Construction,3853400.00,15,
42 - Santa Barbara,10/20/2017,In Construction,143869553.00,31,
42 - Santa Barbara,10/20/2017,In Closure,73191123.00,8,
43 - Santa Clara,10/20/2017,In Review,347514043.00,66,Bay Area Counties
43 - Santa Clara,10/20/2017,Pending Construction,11583141.00,37,Bay Area Counties
43 - Santa Clara,10/20/2017,In Construction,1922429056.00,148,Bay Area Counties
43 - Santa Clara,10/20/2017,In Closure,165534021.00,16,Bay Area Counties
44 - Santa Cruz,10/20/2017,In Review,4832885.00,10,
44 - Santa Cruz,10/20/2017,Pending Construction,6633388.00,3,
44 - Santa Cruz,10/20/2017,In Construction,10535792.00,18,
44 - Santa Cruz,10/20/2017,In Closure,13880.00,1,
45 - Shasta,10/20/2017,In Review,13024196.00,8,
45 - Shasta,10/20/2017,Pending Construction,1207500.00,10,
45 - Shasta,10/20/2017,In Construction,7845522.00,17,
45 - Shasta,10/20/2017,In Closure,552545.00,6,
46 - Sierra,10/20/2017,In Review,0.00,0,
46 - Sierra,10/20/2017,Pending Construction,102200.00,1,
46 - Sierra,10/20/2017,In Construction,70000.00,1,
46 - Sierra,10/20/2017,In Closure,0.00,0,
47 - Siskiyou,10/20/2017,In Review,4000500.00,2,
47 - Siskiyou,10/20/2017,Pending Construction,1856538.00,9,
47 - Siskiyou,10/20/2017,In Construction,139950.00,3,
47 - Siskiyou,10/20/2017,In Closure,0.00,0,
48 - Solano,10/20/2017,In Review,11320277.00,12,Bay Area Counties
48 - Solano,10/20/2017,Pending Construction,2010842.00,13,Bay Area Counties
48 - Solano,10/20/2017,In Construction,78199643.00,19,Bay Area Counties
48 - Solano,10/20/2017,In Closure,1885774.00,7,Bay Area Counties
49 - Sonoma,10/20/2017,In Review,38671519.00,20,Bay Area Counties
49 - Sonoma,10/20/2017,Pending Construction,852221.00,18,Bay Area Counties
49 - Sonoma,10/20/2017,In Construction,25673972.00,61,Bay Area Counties
49 - Sonoma,10/20/2017,In Closure,1037946.00,5,Bay Area Counties
50 - Stanislaus,10/20/2017,In Review,20822170.00,12,
50 - Stanislaus,10/20/2017,Pending Construction,2131464.00,19,
50 - Stanislaus,10/20/2017,In Construction,26555305.00,43,
50 - Stanislaus,10/20/2017,In Closure,0.00,0,
51 - Sutter,10/20/2017,In Review,154500.00,3,
51 - Sutter,10/20/2017,Pending Construction,17500.00,2,
51 - Sutter,10/20/2017,In Construction,17300.00,2,
51 - Sutter,10/20/2017,In Closure,0.00,0,
52 - Tehama,10/20/2017,In Review,90000.00,1,
52 - Tehama,10/20/2017,Pending Construction,197000.00,3,
52 - Tehama,10/20/2017,In Construction,1075136.00,4,
52 - Tehama,10/20/2017,In Closure,0.00,0,
53 - Trinity,10/20/2017,In Review,0.00,0,
53 - Trinity,10/20/2017,Pending Construction,178500.00,3,
53 - Trinity,10/20/2017,In Construction,0.00,0,
53 - Trinity,10/20/2017,In Closure,1426478.00,2,
54 - Tulare,10/20/2017,In Review,15985917.00,5,
54 - Tulare,10/20/2017,Pending Construction,9838625.00,6,
54 - Tulare,10/20/2017,In Construction,50919215.00,20,
54 - Tulare,10/20/2017,In Closure,3281699.00,5,
55 - Tuolumne,10/20/2017,In Review,0.00,0,
55 - Tuolumne,10/20/2017,Pending Construction,163231.00,1,
55 - Tuolumne,10/20/2017,In Construction,2061102.00,3,
55 - Tuolumne,10/20/2017,In Closure,0.00,0,
56 - Ventura,10/20/2017,In Review,28170062.00,22,Greater Los Angeles Counties
56 - Ventura,10/20/2017,Pending Construction,4753600.00,17,Greater Los Angeles Counties
56 - Ventura,10/20/2017,In Construction,595407810.00,73,Greater Los Angeles Counties
56 - Ventura,10/20/2017,In Closure,4431916.00,9,Greater Los Angeles Counties
57 - Yolo,10/20/2017,In Review,16185923.00,7,Greater Sacramento Counties
57 - Yolo,10/20/2017,Pending Construction,347000.00,4,Greater Sacramento Counties
57 - Yolo,10/20/2017,In Construction,11203365.00,14,Greater Sacramento Counties
57 - Yolo,10/20/2017,In Closure,5579.00,1,Greater Sacramento Counties
58 - Yuba,10/20/2017,In Review,0.00,1,
58 - Yuba,10/20/2017,Pending Construction,1971191.00,4,
58 - Yuba,10/20/2017,In Construction,58161174.00,14,
58 - Yuba,10/20/2017,In Closure,89170550.00,2,
01 - Alameda,11/2/2017,In Review,110658138.00,55,Bay Area Counties
01 - Alameda,11/2/2017,Pending Construction,28419728.00,50,Bay Area Counties
01 - Alameda,11/2/2017,In Construction,635089028.00,112,Bay Area Counties
01 - Alameda,11/2/2017,In Closure,4676078.00,15,Bay Area Counties
02 - Alpine,11/2/2017,In Review,0.00,0,
02 - Alpine,11/2/2017,Pending Construction,0.00,0,
02 - Alpine,11/2/2017,In Construction,0.00,0,
02 - Alpine,11/2/2017,In Closure,0.00,0,
03 - Amador,11/2/2017,In Review,2173353.00,1,
03 - Amador,11/2/2017,Pending Construction,75000.00,2,
03 - Amador,11/2/2017,In Construction,1590393.00,2,
03 - Amador,11/2/2017,In Closure,147012.00,3,
04 - Butte,11/2/2017,In Review,88675000.00,9,
04 - Butte,11/2/2017,Pending Construction,103459.00,3,
04 - Butte,11/2/2017,In Construction,2868249.00,7,
04 - Butte,11/2/2017,In Closure,335010.00,5,
05 - Calaveras,11/2/2017,In Review,170600.00,1,
05 - Calaveras,11/2/2017,Pending Construction,150000.00,1,
05 - Calaveras,11/2/2017,In Construction,141564.00,2,
05 - Calaveras,11/2/2017,In Closure,0.00,0,
06 - Colusa,11/2/2017,In Review,0.00,0,
06 - Colusa,11/2/2017,Pending Construction,0.00,0,
06 - Colusa,11/2/2017,In Construction,0.00,0,
06 - Colusa,11/2/2017,In Closure,0.00,0,
07 - Contra Costa,11/2/2017,In Review,27464779.00,26,Bay Area Counties
07 - Contra Costa,11/2/2017,Pending Construction,4279426.00,26,Bay Area Counties
07 - Contra Costa,11/2/2017,In Construction,40708312.00,61,Bay Area Counties
07 - Contra Costa,11/2/2017,In Closure,9254072.00,18,Bay Area Counties
08 - Del Norte,11/2/2017,In Review,0.00,0,
08 - Del Norte,11/2/2017,Pending Construction,142300.00,5,
08 - Del Norte,11/2/2017,In Construction,2261300.00,6,
08 - Del Norte,11/2/2017,In Closure,785500.00,2,
09 - El Dorado,11/2/2017,In Review,3798079.00,7,Greater Sacramento Counties
09 - El Dorado,11/2/2017,Pending Construction,2236240.00,3,Greater Sacramento Counties
09 - El Dorado,11/2/2017,In Construction,15857110.00,18,Greater Sacramento Counties
09 - El Dorado,11/2/2017,In Closure,158004.00,1,Greater Sacramento Counties
10 - Fresno,11/2/2017,In Review,110186067.00,23,
10 - Fresno,11/2/2017,Pending Construction,29860831.00,29,
10 - Fresno,11/2/2017,In Construction,55041967.00,78,
10 - Fresno,11/2/2017,In Closure,3018683.00,7,
11 - Glenn,11/2/2017,In Review,0.00,0,
11 - Glenn,11/2/2017,Pending Construction,12962075.00,2,
11 - Glenn,11/2/2017,In Construction,0.00,0,
11 - Glenn,11/2/2017,In Closure,0.00,0,
12 - Humboldt,11/2/2017,In Review,1118000.00,4,
12 - Humboldt,11/2/2017,Pending Construction,9540600.00,6,
12 - Humboldt,11/2/2017,In Construction,87536291.00,5,
12 - Humboldt,11/2/2017,In Closure,1751510.00,6,
13 - Imperial,11/2/2017,In Review,14050000.00,5,
13 - Imperial,11/2/2017,Pending Construction,47003000.00,7,
13 - Imperial,11/2/2017,In Construction,22862071.00,9,
13 - Imperial,11/2/2017,In Closure,0.00,0,
14 - Inyo,11/2/2017,In Review,5000.00,1,
14 - Inyo,11/2/2017,Pending Construction,30000.00,1,
14 - Inyo,11/2/2017,In Construction,0.00,0,
14 - Inyo,11/2/2017,In Closure,45000.00,1,
15 - Kern,11/2/2017,In Review,53481543.00,27,
15 - Kern,11/2/2017,Pending Construction,5736787.00,20,
15 - Kern,11/2/2017,In Construction,59730126.00,54,
15 - Kern,11/2/2017,In Closure,1178003.00,4,
16 - Kings,11/2/2017,In Review,0.00,0,
16 - Kings,11/2/2017,Pending Construction,247500.00,3,
16 - Kings,11/2/2017,In Construction,793460.00,8,
16 - Kings,11/2/2017,In Closure,152250.00,2,
17 - Lake,11/2/2017,In Review,6672549.00,3,
17 - Lake,11/2/2017,Pending Construction,340000.00,1,
17 - Lake,11/2/2017,In Construction,1409348.00,16,
17 - Lake,11/2/2017,In Closure,1147494.00,5,
18 - Lassen,11/2/2017,In Review,50000.00,1,
18 - Lassen,11/2/2017,Pending Construction,0.00,0,
18 - Lassen,11/2/2017,In Construction,1447855.00,8,
18 - Lassen,11/2/2017,In Closure,420000.00,1,
19 - Los Angeles,11/2/2017,In Review,841174130.00,420,Greater Los Angeles Counties
19 - Los Angeles,11/2/2017,Pending Construction,295362754.00,425,Greater Los Angeles Counties
19 - Los Angeles,11/2/2017,In Construction,589820024.00,850,Greater Los Angeles Counties
19 - Los Angeles,11/2/2017,In Closure,156229117.00,206,Greater Los Angeles Counties
20 - Madera,11/2/2017,In Review,7823099.00,10,
20 - Madera,11/2/2017,Pending Construction,1309666.00,5,
20 - Madera,11/2/2017,In Construction,19943075.00,22,
20 - Madera,11/2/2017,In Closure,952547.00,3,
21 - Marin,11/2/2017,In Review,8878484.00,18,Bay Area Counties
21 - Marin,11/2/2017,Pending Construction,4237083.00,16,Bay Area Counties
21 - Marin,11/2/2017,In Construction,40712640.00,39,Bay Area Counties
21 - Marin,11/2/2017,In Closure,1963342.00,14,Bay Area Counties
22 - Mariposa,11/2/2017,In Review,0.00,0,
22 - Mariposa,11/2/2017,Pending Construction,0.00,0,
22 - Mariposa,11/2/2017,In Construction,25000.00,1,
22 - Mariposa,11/2/2017,In Closure,0.00,0,
23 - Mendocino,11/2/2017,In Review,666793.00,3,
23 - Mendocino,11/2/2017,Pending Construction,1153200.00,10,
23 - Mendocino,11/2/2017,In Construction,21934808.00,18,
23 - Mendocino,11/2/2017,In Closure,550815.00,4,
24 - Merced,11/2/2017,In Review,1148096.00,3,
24 - Merced,11/2/2017,Pending Construction,68096.00,2,
24 - Merced,11/2/2017,In Construction,1227668.00,13,
24 - Merced,11/2/2017,In Closure,460852.00,4,
25 - Modoc,11/2/2017,In Review,19200000.00,1,
25 - Modoc,11/2/2017,Pending Construction,0.00,0,
25 - Modoc,11/2/2017,In Construction,45000.00,1,
25 - Modoc,11/2/2017,In Closure,0.00,0,
26 - Mono,11/2/2017,In Review,0.00,0,
26 - Mono,11/2/2017,Pending Construction,60000.00,1,
26 - Mono,11/2/2017,In Construction,21000.00,1,
26 - Mono,11/2/2017,In Closure,0.00,0,
27 - Monterey,11/2/2017,In Review,1183612.00,10,
27 - Monterey,11/2/2017,Pending Construction,11999824.00,16,
27 - Monterey,11/2/2017,In Construction,44791683.00,33,
27 - Monterey,11/2/2017,In Closure,0.00,0,
28 - Napa,11/2/2017,In Review,11342238.00,9,Bay Area Counties
28 - Napa,11/2/2017,Pending Construction,1669405.00,10,Bay Area Counties
28 - Napa,11/2/2017,In Construction,7462039.00,27,Bay Area Counties
28 - Napa,11/2/2017,In Closure,23610.00,3,Bay Area Counties
29 - Nevada,11/2/2017,In Review,3298957.00,10,
29 - Nevada,11/2/2017,Pending Construction,3145850.00,5,
29 - Nevada,11/2/2017,In Construction,28388900.00,19,
29 - Nevada,11/2/2017,In Closure,9789542.00,6,
30 - Orange,11/2/2017,In Review,145522106.00,86,Greater Los Angeles Counties
30 - Orange,11/2/2017,Pending Construction,9777304.00,73,Greater Los Angeles Counties
30 - Orange,11/2/2017,In Construction,126691212.00,145,Greater Los Angeles Counties
30 - Orange,11/2/2017,In Closure,11309070.00,67,Greater Los Angeles Counties
31 - Placer,11/2/2017,In Review,9452431.00,12,Greater Sacramento Counties
31 - Placer,11/2/2017,Pending Construction,6214538.00,10,Greater Sacramento Counties
31 - Placer,11/2/2017,In Construction,28441449.00,28,Greater Sacramento Counties
31 - Placer,11/2/2017,In Closure,1579563.00,7,Greater Sacramento Counties
32 - Plumas,11/2/2017,In Review,220000.00,2,
32 - Plumas,11/2/2017,Pending Construction,35000.00,2,
32 - Plumas,11/2/2017,In Construction,3379.00,1,
32 - Plumas,11/2/2017,In Closure,15480.00,2,
33 - Riverside,11/2/2017,In Review,178016424.00,49,
33 - Riverside,11/2/2017,Pending Construction,35313047.00,56,
33 - Riverside,11/2/2017,In Construction,437697133.00,125,
33 - Riverside,11/2/2017,In Closure,27306042.00,21,
34 - Sacramento,11/2/2017,In Review,73863487.00,39,Greater Sacramento Counties
34 - Sacramento,11/2/2017,Pending Construction,29863967.00,53,Greater Sacramento Counties
34 - Sacramento,11/2/2017,In Construction,268282457.00,147,Greater Sacramento Counties
34 - Sacramento,11/2/2017,In Closure,199530700.00,29,Greater Sacramento Counties
35 - San Benito,11/2/2017,In Review,90000.00,1,
35 - San Benito,11/2/2017,Pending Construction,0.00,0,
35 - San Benito,11/2/2017,In Construction,103388.00,1,
35 - San Benito,11/2/2017,In Closure,0.00,0,
36 - San Bernardino,11/2/2017,In Review,333754060.00,65,
36 - San Bernardino,11/2/2017,Pending Construction,115951571.00,67,
36 - San Bernardino,11/2/2017,In Construction,500281162.00,138,
36 - San Bernardino,11/2/2017,In Closure,15942072.00,33,
37 - San Diego,11/2/2017,In Review,171289322.00,89,
37 - San Diego,11/2/2017,Pending Construction,31890780.00,122,
37 - San Diego,11/2/2017,In Construction,321220260.00,208,
37 - San Diego,11/2/2017,In Closure,85916704.00,60,
38 - San Francisco,11/2/2017,In Review,96678879.00,62,Bay Area Counties
38 - San Francisco,11/2/2017,Pending Construction,39595869.00,45,Bay Area Counties
38 - San Francisco,11/2/2017,In Construction,1369236216.00,109,Bay Area Counties
38 - San Francisco,11/2/2017,In Closure,10457023.00,19,Bay Area Counties
39 - San Joaquin,11/2/2017,In Review,31164090.00,17,
39 - San Joaquin,11/2/2017,Pending Construction,5677722.00,15,
39 - San Joaquin,11/2/2017,In Construction,40685681.00,26,
39 - San Joaquin,11/2/2017,In Closure,2971318.00,11,
40 - San Luis Obispo,11/2/2017,In Review,18558230.00,14,
40 - San Luis Obispo,11/2/2017,Pending Construction,1144237.00,8,
40 - San Luis Obispo,11/2/2017,In Construction,5979501.00,15,
40 - San Luis Obispo,11/2/2017,In Closure,1675544.00,4,
41 - San Mateo,11/2/2017,In Review,22871779.00,28,Bay Area Counties
41 - San Mateo,11/2/2017,Pending Construction,18327608.00,22,Bay Area Counties
41 - San Mateo,11/2/2017,In Construction,38088498.00,58,Bay Area Counties
41 - San Mateo,11/2/2017,In Closure,3518199.00,11,Bay Area Counties
42 - Santa Barbara,11/2/2017,In Review,27105649.00,9,
42 - Santa Barbara,11/2/2017,Pending Construction,5504752.00,14,
42 - Santa Barbara,11/2/2017,In Construction,143477699.00,29,
42 - Santa Barbara,11/2/2017,In Closure,748184.00,6,
43 - Santa Clara,11/2/2017,In Review,346783304.00,66,Bay Area Counties
43 - Santa Clara,11/2/2017,Pending Construction,10405981.00,36,Bay Area Counties
43 - Santa Clara,11/2/2017,In Construction,1925502847.00,151,Bay Area Counties
43 - Santa Clara,11/2/2017,In Closure,165758465.00,15,Bay Area Counties
44 - Santa Cruz,11/2/2017,In Review,4759664.00,9,
44 - Santa Cruz,11/2/2017,Pending Construction,6585980.00,2,
44 - Santa Cruz,11/2/2017,In Construction,10502938.00,17,
44 - Santa Cruz,11/2/2017,In Closure,33904.00,1,
45 - Shasta,11/2/2017,In Review,13874196.00,9,
45 - Shasta,11/2/2017,Pending Construction,972500.00,8,
45 - Shasta,11/2/2017,In Construction,6272699.00,18,
45 - Shasta,11/2/2017,In Closure,2336012.00,7,
46 - Sierra,11/2/2017,In Review,0.00,0,
46 - Sierra,11/2/2017,Pending Construction,102200.00,1,
46 - Sierra,11/2/2017,In Construction,70000.00,1,
46 - Sierra,11/2/2017,In Closure,0.00,0,
47 - Siskiyou,11/2/2017,In Review,4000500.00,2,
47 - Siskiyou,11/2/2017,Pending Construction,1791238.00,9,
47 - Siskiyou,11/2/2017,In Construction,221950.00,4,
47 - Siskiyou,11/2/2017,In Closure,0.00,0,
48 - Solano,11/2/2017,In Review,14020327.00,16,Bay Area Counties
48 - Solano,11/2/2017,Pending Construction,1993578.00,12,Bay Area Counties
48 - Solano,11/2/2017,In Construction,78219907.00,20,Bay Area Counties
48 - Solano,11/2/2017,In Closure,1433620.00,6,Bay Area Counties
49 - Sonoma,11/2/2017,In Review,39253177.00,30,Bay Area Counties
